repo,package,version,comment
cran,tibble,1.4.2,Data wrangling
cran,mlbench,2.1-1,Data
bioc,Biobase,2.40.0,Data
bioc,breastCancerUPP,1.16.0,Data
cran,ElemStatLearn,2015.6.26,Data
cran,RANN,2.5.1,
cran,caTools,1.17.1,Data
cran,e1071,1.6-8,Algorithm
cran,kernlab,0.9-26,Algorithm
cran,pamr,1.55,Algorithm
cran,randomForest,4.6-14,Algorithm
cran,import,1.1.0,Needed for caret
cran,gower,0.1.2,Needed for caret
cran,tibble,1.4.2,Needed for recipes
cran,recipes,0.1.2,Needed for caret
cran,caret,6.0-79,Modeling framework
cran,data.table,1.11.2,Needed for emil
cran,emil,2.2.8,Modeling framework
cran,dplyr,0.7.5,Data wrangling
cran,ggplot2,2.2.1,Plotting
cran,scales,0.5.0,Plotting
cran,tidyr,0.8.1,Data wrangling
